Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,obs_record1,obs_record2,obs_record3,obs_record4,obs_record5
Heptapleurum fengii,9.98333,2,17.4271,26.3,11.3917,1369,49,FALSE,GBIF_CURRENT=17,,,,
Heptapleurum gracile,9.98333,2,22.5778,31.425,15.55,2351.25,446.75,FALSE,GBIF_CURRENT=3,,PLANTSEARCH=1,,
Heteropterys glabra,9.98333,2,18.6993,31.375,11.7917,1153,157.5,FALSE,GBIF_CURRENT=227,,PLANTSEARCH=15,,
Hydrangea ampla,9.98333,2,16.2646,31.725,5.45,1297,175.75,FALSE,GBIF_CURRENT=6,,PLANTSEARCH=4,,
Khadia alticola,9.98333,2,13.1271,24.725,7.77499,753.5,48.75,FALSE,GBIF_CURRENT=38,,PLANTSEARCH=3,,
Lindera salicifolia,9.98333,2,14.0514,30.575,3.74166,1048.25,201.5,FALSE,GBIF_CURRENT=4,,PLANTSEARCH=5,,
Micranthes nelsoniana,9.98333,2,-4.28333,17.1,-18.45,523,60,FALSE,GBIF_CURRENT=46,,,,
Parnassia fimbriata,9.98333,2,2.84375,20.075,-5.62917,741.75,130,FALSE,GBIF_CURRENT=2527,,PLANTSEARCH=3,,
Phacelia argentea,9.98333,2,12.6083,23.5,8.95,1370,46,FALSE,GBIF_CURRENT=11,,PLANTSEARCH=5,,
Phlox nivalis,9.98333,2,15.6722,32.1,5.74167,1178,254,FALSE,GBIF_CURRENT=477,,PLANTSEARCH=7,,
Polygonum graminifolium,9.98333,2,11.7417,27.3,2,655,126,FALSE,GBIF_CURRENT=1,,,,
Potentilla villosula,9.98333,2,-1.41875,15.3,-10.2583,775,115.5,FALSE,GBIF_CURRENT=244,,,,
Primula fangii,9.98333,2,10.6917,23.8,4.59166,782.5,27,FALSE,GBIF_CURRENT=4,,PLANTSEARCH=2,,
Raoulia hectorii,9.98333,2,4.49583,16.3,-0.866667,2611,474,FALSE,GBIF_CURRENT=256,,PLANTSEARCH=1,,
Rhododendron brachypodum,9.98333,2,16.6542,31.4,7,1172,64,FALSE,GBIF_CURRENT=1,,,,
Rhododendron tephropeploides,9.98333,2,10.9694,19.6,5.19167,1308.5,90,FALSE,GBIF_CURRENT=1,,PLANTSEARCH=1,,
Rubus alaskensis,9.98333,2,0.760417,17.65,-9.63333,739,103,FALSE,GBIF_CURRENT=6,,,,
Saxifragopsis fragarioides,9.98333,2,8.98333,25.725,2.70417,1309.75,119.25,FALSE,GBIF_CURRENT=83,,PLANTSEARCH=5,,
Schisandra perulata,9.98333,2,22.4833,32.8,19.3167,1001,21,FALSE,GBIF_CURRENT=2,,PLANTSEARCH=1,,
Silene wahlbergella,9.98333,2,0.810417,18.075,-6.12917,666.25,71.25,FALSE,GBIF_CURRENT=2719,,PLANTSEARCH=6,,
Stenanthium diffusum,9.98333,2,12.3306,29.3,1.39167,1284.5,281.5,FALSE,GBIF_CURRENT=13,,PLANTSEARCH=1,,
Stomatium beaufortense,9.98333,2,14.4819,30.5,7.69166,367.5,39,FALSE,GBIF_CURRENT=1,,PLANTSEARCH=3,,
Synthyris wyomingensis,9.98333,2,5.72084,27.9,-2.875,462,62.5,FALSE,PLANTSEARCH=2,GBIF_CURRENT=846,,,
Thymus brachychilus,9.98333,2,2.5125,20.8,-7.18333,580,34,FALSE,GBIF_CURRENT=4,,PLANTSEARCH=1,,
Tradescantia hirsuticaulis,9.98333,2,15.968,32.8,5.66667,1297,266,FALSE,GBIF_CURRENT=193,,PLANTSEARCH=8,,
Trautvetteria fonticalcarea,9.98333,2,12.7444,29.8,1.7125,1226.5,268,FALSE,GBIF_CURRENT=19,,PLANTSEARCH=2,,
Trollius kytmanovii,9.98333,2,1.55625,24.175,-12.3708,620.75,86.5,FALSE,GBIF_CURRENT=277,,PLANTSEARCH=2,,
Verbascum rupicola,9.98333,2,6.20417,24.9,-3.91667,519,25,FALSE,GBIF_CURRENT=2,,,,
Wahlenbergia rivularis,9.98333,2,15.1028,27.2,7.91667,997.5,143.5,FALSE,GBIF_CURRENT=36,,PLANTSEARCH=4,,
Watsonia fourcadei,9.98333,2,13.9236,25.3,7.5375,674.5,132,FALSE,GBIF_CURRENT=27,,PLANTSEARCH=1,,
Zephyranthes bifida,9.98333,2,16.9903,31.35,7.74167,1007,189.25,FALSE,GBIF_CURRENT=551,,PLANTSEARCH=2,,
Zephyranthes brachyandra,9.98333,2,17.7931,28,10.8667,937,143,FALSE,GBIF_CURRENT=36,,PLANTSEARCH=1,,
Zephyranthes fosteri,9.98333,2,15.3514,26.5,11.3417,813.75,26.5,FALSE,GBIF_CURRENT=647,,PLANTSEARCH=4,,
Adinandra bockiana,9.98333,2,18.0845,30.559,9.29833,1421.12,124,TRUE,GBIF_BGCI=133,GBIF_CURRENT=7,,URBANPLANTS=1,PLANTSEARCH=1
Amentotaxus hatuyenensis,9.98333,2,16.0514,31.2,7.05,1248,268,TRUE,GBIF_CURRENT=1,,PLANTSEARCH=4,,
Castanopsis calathiformis,9.98333,2,19.9625,29.8333,14.9667,1608,64.1667,TRUE,GBIF_BGCI=141,GBIF_CURRENT=32,,PLANTSEARCH=3,
Castanopsis purpurella,9.98333,2,20.4802,31.4667,11.9111,1658,130.333,TRUE,GBIF_BGCI=1,GBIF_CURRENT=1,,PLANTSEARCH=1,
Comarostaphylis diversifolia,9.98333,2,15.997,26.9307,12.3858,431,6,TRUE,GBIF_BGCI=548,GBIF_CURRENT=272,,PLANTSEARCH=14,
Dypsis decipiens,9.98333,2,18.4703,27.3667,14.4056,1374.83,55,TRUE,GBIF_BGCI=48,,GBIF_CURRENT=58,PLANTSEARCH=19,
Ilex litseifolia,9.98333,2,16.8469,32.2967,5.94089,1403,184.833,TRUE,GBIF_CURRENT=13,,URBANPLANTS=1,PLANTSEARCH=3,
Ilex suaveolens,9.98333,2,17.0618,31.9595,7.16034,1414.5,156.25,TRUE,GBIF_BGCI=125,GBIF_CURRENT=72,,URBANPLANTS=2,PLANTSEARCH=9
Magnolia aromatica,9.98333,2,16.4363,26.9405,9.29233,1153.12,42.25,TRUE,GBIF_BGCI=15,,GBIF_CURRENT=8,URBANPLANTS=1,PLANTSEARCH=5
Magnolia conifera,9.98333,2,17.3692,30.3,8.23889,1406.83,159.5,TRUE,GBIF_BGCI=165,GBIF_CURRENT=6,,PLANTSEARCH=6,
Magnolia patungensis,9.98333,2,16.0744,31.2,6.02311,1283,94.8333,TRUE,GBIF_BGCI=4,,GBIF_CURRENT=19,URBANPLANTS=2,PLANTSEARCH=1
Persea humilis,9.98333,2,19.7588,32.5333,11.0361,1195.83,182.833,TRUE,GBIF_BGCI=34,GBIF_CURRENT=67,,PLANTSEARCH=2,
Saurauia roxburghii,9.98333,2,23.823,32.1,20.0444,1435.67,30.6667,TRUE,GBIF_BGCI=38,GBIF_CURRENT=39,,PLANTSEARCH=2,
Schima sinensis,9.98333,2,15.0839,28.0167,7.06389,1117.5,48.3333,TRUE,GBIF_BGCI=97,GBIF_CURRENT=29,,PLANTSEARCH=5,
Sorbus verrucosa,9.98333,2,21.6042,27.85,15.8417,2037,22.75,TRUE,GBIF_BGCI=4,GBIF_CURRENT=3,,PLANTSEARCH=1,
Styrax tonkinensis,9.98333,2,18.5907,30.9333,11.4667,1385.67,89,TRUE,GBIF_BGCI=22,GBIF_CURRENT=7,,PLANTSEARCH=1,
Aquilegia brevistyla,9.98333,3,3.86111,21.575,-4.81667,594.25,95.75,FALSE,GBIF_CURRENT=672,,PLANTSEARCH=3,,
Arctostaphylos bicolor,9.98333,3,16.7625,30.15,12.5583,401.5,7,FALSE,PLANTSEARCH=15,GBIF_CURRENT=3885,,,
Ardisia pusilla,9.98333,3,15.5861,29.4,5.08333,1751.5,157,FALSE,GBIF_CURRENT=541,,PLANTSEARCH=8,,
Draba korabensis,9.98333,3,8.10833,22.4,0.166667,797,129,FALSE,GBIF_CURRENT=1,PLANTSEARCH=6,,,
Gentiana terglouensis,9.98333,3,2.24653,16.525,-2.65833,1065.75,198.25,FALSE,GBIF_CURRENT=1318,,PLANTSEARCH=2,,
Helianthus angustifolius,9.98333,3,17.1111,32.225,6.92917,1232.75,250,FALSE,GBIF_CURRENT=292,,PLANTSEARCH=3,,
Hesperocyparis abramsiana,9.98333,3,13.2278,24,10.0583,761.5,11.5,FALSE,GBIF_CURRENT=626,,PLANTSEARCH=7,,
Lyonia lucida,9.98333,3,18.7611,32.2,9.66667,1237,225,FALSE,GBIF_CURRENT=3842,,PLANTSEARCH=2,,
Nassella pulchra,9.98333,3,15.4396,28.8,10.475,551.75,8.25,FALSE,GBIF_CURRENT=187,,PLANTSEARCH=16,,
Phyllostachys makinoi,9.98333,3,18.5451,30.475,11.5875,1703.5,134.25,FALSE,GBIF_CURRENT=16,,PLANTSEARCH=9,,
Potentilla divina,9.98333,3,3.0993,18.675,-3.35416,1039,183.75,FALSE,GBIF_CURRENT=75,,PLANTSEARCH=2,,
Sedum tenellum,9.98333,3,3.90972,18.6,-1.7,876.5,167,FALSE,GBIF_CURRENT=196,,PLANTSEARCH=4,,
Styphnolobium affine,9.98333,3,17.6514,33.55,6.93334,888.5,156.5,FALSE,GBIF_CURRENT=218,,PLANTSEARCH=12,,
Styrax redivivus,9.98333,3,15.309,29.525,10.0125,597.75,10.5,FALSE,GBIF_CURRENT=9,,PLANTSEARCH=11,,
Trichostema lanatum,9.98333,3,15.7049,30.55,11.0542,459.75,6.75,FALSE,GBIF_CURRENT=2471,,PLANTSEARCH=21,,
Viscaria alpina,9.98333,3,1.92083,18,-5.19167,811.25,145.25,FALSE,GBIF_CURRENT=6855,,PLANTSEARCH=12,,
Ilex triflora,9.98333,3,18.7717,31.8125,10.3025,1471.88,135.375,TRUE,GBIF_BGCI=577,GBIF_CURRENT=32,,URBANPLANTS=3,PLANTSEARCH=11
Magnolia fordiana,9.98333,3,18.0923,31.205,9.46525,1367.75,152.375,TRUE,GBIF_BGCI=128,GBIF_CURRENT=72,,URBANPLANTS=5,PLANTSEARCH=16
Magnolia foveolata,9.98333,3,17.4471,30.405,8.27417,1481.88,147.5,TRUE,GBIF_BGCI=133,GBIF_CURRENT=63,,URBANPLANTS=1,PLANTSEARCH=23
Magnolia yunnanensis,9.98333,3,15.6255,26.1405,8.87358,1251.12,74.125,TRUE,GBIF_BGCI=16,GBIF_CURRENT=6,,URBANPLANTS=1,PLANTSEARCH=14
Polyspora axillaris,9.98333,3,18.74,27.5053,12.418,2060.67,150,TRUE,GBIF_BGCI=861,GBIF_CURRENT=539,,PLANTSEARCH=18,
Adiantum shastense,9.98333,5,14.6326,30.1,8.06667,1120,24.5,FALSE,GBIF_CURRENT=157,,PLANTSEARCH=3,,
Arctostaphylos manzanita,9.98333,5,14.5055,29,8.875,862.25,11.5,FALSE,GBIF_CURRENT=232,,PLANTSEARCH=18,,
Aria caloneura,9.98333,5,16.6667,30.9,6.85,1368,90,FALSE,GBIF_CURRENT=219,,,,
Aria folgneri,9.98333,5,16.2458,31.1,6.15833,1282.5,88.5,FALSE,GBIF_CURRENT=313,,,,
Aria hemsleyi,9.98333,5,15.6854,29.6,6.025,1184.5,61.5,FALSE,GBIF_CURRENT=153,,,,
Aria megalocarpa,9.98333,5,16.3229,29.15,6.50833,1197.5,63.5,FALSE,GBIF_CURRENT=78,,,,
Brewerimitella breweri,9.98333,5,7.56597,24.475,3.8125,845.5,63.25,FALSE,PLANTSEARCH=3,GBIF_CURRENT=752,,,
Castilleja arachnoidea,9.98333,5,7.34722,25.275,1.0875,1200.75,137.5,FALSE,GBIF_CURRENT=66,,PLANTSEARCH=4,,
Ceanothus lemmonii,9.98333,5,14.0188,31.25,7.99583,1000.25,19.5,FALSE,GBIF_CURRENT=274,,PLANTSEARCH=9,,
Centaurea gymnocarpa,9.98333,5,16.2021,29.675,9.85001,568.75,41.75,FALSE,GBIF_CURRENT=1,,PLANTSEARCH=8,,
Chaenorhinum villosum,9.98333,5,15.4347,33.4,8.75832,562,26,FALSE,GBIF_CURRENT=614,,PLANTSEARCH=1,,
Cheilanthes quadripinnata,9.98333,5,15.5062,26.05,11.2625,704.75,52.5,FALSE,GBIF_CURRENT=44,,PLANTSEARCH=4,,
Chrysolepis sempervirens,9.98333,5,9.41251,27.4,4.59167,777.5,26.5,FALSE,GBIF_CURRENT=2117,,PLANTSEARCH=3,,
Clematis finetiana,9.98333,5,17.0292,31.775,7.725,1245.25,121,FALSE,GBIF_CURRENT=437,,PLANTSEARCH=9,,
Diospyros austroafricana,9.98333,5,16.075,30.65,10.1,478.25,43.5,FALSE,GBIF_CURRENT=62,,PLANTSEARCH=5,,
Eremogone gypsophiloides,9.98333,5,7.54653,23.725,-1.34583,646.75,111,FALSE,GBIF_CURRENT=48,,PLANTSEARCH=3,,
Eriodictyon californicum,9.98333,5,14.1299,30.075,8.35833,809.75,36.25,FALSE,GBIF_CURRENT=673,,PLANTSEARCH=6,,
Heliotropium curassavicum,9.98333,5,17.1486,30.4,12.0792,550.5,41.75,FALSE,GBIF_CURRENT=9634,,PLANTSEARCH=14,,
Hemieva ranunculifolia,9.98333,5,5,23.6,-4.01667,848.5,115.5,FALSE,GBIF_CURRENT=334,,PLANTSEARCH=1,,
Heptapleurum delavayi,9.98333,5,16.0945,28.475,8.22917,1221,107.25,FALSE,GBIF_CURRENT=36,,PLANTSEARCH=2,,
Heptapleurum fantsipanense,9.98333,5,12.95,20.3,7.5,2028,36,FALSE,GBIF_CURRENT=12,,,,
Hesperocyparis sargentii,9.98333,5,13.5944,26.775,9.04167,941,11,FALSE,GBIF_CURRENT=686,,PLANTSEARCH=9,,
Hibbertia obtusifolia,9.98333,5,14.2472,27.55,8.98333,802.5,149,FALSE,GBIF_CURRENT=881,,PLANTSEARCH=1,,
Hosackia gracilis,9.98333,5,13.5139,24.7,10.1417,889.5,12,FALSE,GBIF_CURRENT=1368,,PLANTSEARCH=8,,
Kniphofia albescens,9.98333,5,13.559,23.95,7.75,838.75,100.25,FALSE,GBIF_CURRENT=31,,PLANTSEARCH=5,,
Lithocarpus grandifolius,9.98333,5,21.2931,28.975,16.525,1605.25,68.75,FALSE,GBIF_CURRENT=432,,PLANTSEARCH=3,,
Lonicera ferruginea,9.98333,5,18.0257,29.325,10.65,1455.25,80.25,FALSE,GBIF_CURRENT=85,,PLANTSEARCH=5,,
Lonicera semenovii,9.98333,5,0.518749,20.05,-9.825,440.5,61.25,FALSE,GBIF_CURRENT=15,,PLANTSEARCH=2,,
Majovskya sudetica,9.98333,5,5.59792,19.45,-2.33333,1120.5,179.5,FALSE,GBIF_CURRENT=19,,,,
Micranthes ferruginea,9.98333,5,7.81666,22.55,4.05833,1290,96.5,FALSE,GBIF_CURRENT=2346,,PLANTSEARCH=2,,
Myriopteris lanosa,9.98333,5,14.1486,30.65,4.575,1175.5,248.5,FALSE,GBIF_CURRENT=1614,,PLANTSEARCH=5,,
Nassella cernua,9.98333,5,15.6236,30.7,9.47083,514.75,9,FALSE,GBIF_CURRENT=759,,PLANTSEARCH=9,,
Nekemias megalophylla,9.98333,5,14.4452,28.35,4.72917,953.5,103.25,FALSE,GBIF_CURRENT=154,,PLANTSEARCH=2,,
Orthocarpus cuspidatus,9.98333,5,7.76667,25.875,0.816668,931.75,126.25,FALSE,GBIF_CURRENT=799,,PLANTSEARCH=4,,
Phedimus florifer,9.98333,5,8.52222,23.9,-0.2,657,108.5,FALSE,GBIF_CURRENT=12,,PLANTSEARCH=1,,
Pittosporum subulisepalum,9.98333,5,16.4028,32.35,4.85834,1290.5,198.5,FALSE,GBIF_CURRENT=6,,PLANTSEARCH=4,,
Polystichum kruckebergii,9.98333,5,6.48054,22.65,2.36667,895,76.25,FALSE,GBIF_CURRENT=223,,PLANTSEARCH=2,,
Polystichum scopulinum,9.98333,5,8.69514,25.475,3.88334,728.75,59,FALSE,GBIF_CURRENT=485,,PLANTSEARCH=3,,
Pseudocyclosorus subochthodes,9.98333,5,18.5417,31.55,10.6375,1574.25,129,FALSE,GBIF_CURRENT=155,,PLANTSEARCH=4,,
Rhododendron anthopogonoides,9.98333,5,4.67917,21.2,-6.4,461,6,FALSE,GBIF_CURRENT=49,,,,
Ribes acerifolium,9.98333,5,6.39166,24.85,-0.666667,1521.75,213.5,FALSE,GBIF_CURRENT=228,,PLANTSEARCH=1,,
Rosa laevigata,9.98333,5,16.1139,29,6.775,1166.5,170,FALSE,GBIF_CURRENT=1552,,PLANTSEARCH=1,,
Salvia guaranitica,9.98333,5,16.5924,29.125,10.0542,925.75,161.25,FALSE,GBIF_CURRENT=38,,PLANTSEARCH=44,,
Sambucus mexicana,9.98333,5,16.9514,29.725,12.6292,659.75,19.75,FALSE,GBIF_CURRENT=1245,,PLANTSEARCH=22,,
Sanicula bipinnatifida,9.98333,5,14.3486,29.075,9.475,773,10,FALSE,GBIF_CURRENT=4542,,PLANTSEARCH=8,,
Saxifraga stolonifera,9.98333,5,13.4042,27.25,4.35,1167.5,162,FALSE,GBIF_CURRENT=198,,PLANTSEARCH=1,,
Scabiosa drakensbergensis,9.98333,5,13.4889,24.875,7.4625,843.5,91.25,FALSE,GBIF_CURRENT=13,,PLANTSEARCH=7,,
Senecio barbatus,9.98333,5,13.1264,27.475,5.35,675.5,47.75,FALSE,GBIF_CURRENT=98,,PLANTSEARCH=1,,
Silene suksdorfii,9.98333,5,3.64167,20.7,-2.32917,1486.25,206,FALSE,GBIF_CURRENT=75,,PLANTSEARCH=2,,
Smelowskia ovalis,9.98333,5,5.72777,21.7,2.375,1166.5,102,FALSE,GBIF_CURRENT=123,,PLANTSEARCH=2,,
Solidago simplex,9.98333,5,5.66807,26.825,-2.8125,643.25,116,FALSE,GBIF_CURRENT=1379,,PLANTSEARCH=2,,
Sorbus decaisneana,9.98333,5,16.3021,30.2,6.58333,1278.5,75,FALSE,GBIF_CURRENT=115,,,,
Stauntonia angustifolia,9.98333,5,15.3861,29.9,7.3125,980.5,80.5,FALSE,GBIF_CURRENT=27,,PLANTSEARCH=5,,
Stauntonia obovata,9.98333,5,17.1639,27.55,9.64166,1318,93.5,FALSE,GBIF_CURRENT=22,,PLANTSEARCH=1,,
Stranvaesia undulata,9.98333,5,13.6431,24.15,5.40833,1157.5,126.5,FALSE,PLANTSEARCH=2,GBIF_CURRENT=29,,,
Styrax faberi,9.98333,5,17.8417,28.4,9.38333,1271.5,129,FALSE,GBIF_CURRENT=375,,PLANTSEARCH=1,,
Verbena corymbosa,9.98333,5,15.1417,24.3,11.3833,1661,350,FALSE,GBIF_CURRENT=33,,PLANTSEARCH=1,,
Veronica decumbens,9.98333,5,8.79307,21.35,4.3,1451,276,FALSE,GBIF_CURRENT=193,,PLANTSEARCH=6,,
Veronica epacridea,9.98333,5,7.72918,19.925,3.76667,1912.25,333,FALSE,GBIF_CURRENT=486,,PLANTSEARCH=5,,
Veronica macrantha,9.98333,5,7.68889,18.975,3.50417,2100.75,385.75,FALSE,GBIF_CURRENT=551,,PLANTSEARCH=4,,
Veronica odora,9.98333,5,8.96529,20.625,5.0625,1799.25,323.25,FALSE,GBIF_CURRENT=1799,,PLANTSEARCH=6,,
Yua thomsonii,9.98333,5,16.0958,29.25,6.28333,1120.25,97.5,FALSE,GBIF_CURRENT=214,,PLANTSEARCH=4,,
Zantedeschia aethiopica,9.98333,5,13.6403,25.25,7.03333,825,121.5,FALSE,GBIF_CURRENT=9731,,PLANTSEARCH=1,,
Zantedeschia jucunda,9.98333,5,15.0083,25.3,8.50417,756,78.75,FALSE,GBIF_CURRENT=7,,PLANTSEARCH=7,,
Arctostaphylos catalinae,9.98333,5,16.4219,27.8667,12.5194,375.333,4.66667,TRUE,GBIF_BGCI=19,,GBIF_CURRENT=112,PLANTSEARCH=9,
Arctostaphylos glauca,9.98333,5,15.0417,31.3233,9.61055,467,9.5,TRUE,GBIF_BGCI=2661,GBIF_CURRENT=1237,,PLANTSEARCH=18,
Bretschneidera sinensis,9.98333,5,18.6782,31.084,10.0947,1797,235,TRUE,GBIF_BGCI=175,,GBIF_CURRENT=27,URBANPLANTS=5,PLANTSEARCH=26
Brucea javanica,9.98333,5,23.9682,31.3867,18.6761,1659.62,83.375,TRUE,GBIF_BGCI=87,GBIF_CURRENT=88,,URBANPLANTS=2,PLANTSEARCH=18
Castanopsis orthacantha,9.98333,5,16.5344,26.25,10.7139,1053.17,49.6667,TRUE,GBIF_BGCI=166,GBIF_CURRENT=46,,PLANTSEARCH=3,
Cinnamomum yabunikkei,9.98333,5,14.9147,29.388,5.501,1744.83,211.167,TRUE,GBIF_BGCI=5,GBIF_CURRENT=249,,PLANTSEARCH=2,
Cornus chinensis,9.98333,5,14.3724,26.5,5.65278,1167.67,80.8333,TRUE,GBIF_BGCI=372,GBIF_CURRENT=81,,PLANTSEARCH=14,
Lithocarpus cleistocarpus,9.98333,5,16.0221,30.623,6.30417,1299.25,120.75,TRUE,GBIF_BGCI=21,GBIF_CURRENT=15,,URBANPLANTS=1,PLANTSEARCH=6
Lithocarpus hancei,9.98333,5,18.0193,29.67,11.2862,1858,135,TRUE,GBIF_BGCI=149,GBIF_CURRENT=723,,URBANPLANTS=3,PLANTSEARCH=12
Lithocarpus mairei,9.98333,5,16.3271,25.9833,10.6556,1040.83,49,TRUE,GBIF_BGCI=35,GBIF_CURRENT=11,,PLANTSEARCH=3,
Litsea cubeba,9.98333,5,17.4288,30.155,9.14217,1546,131.5,TRUE,GBIF_BGCI=299,GBIF_CURRENT=1141,,URBANPLANTS=7,PLANTSEARCH=2
Litsea moupinensis,9.98333,5,15.0797,26.5667,7.26111,1168,53.3333,TRUE,GBIF_BGCI=143,GBIF_CURRENT=5,,PLANTSEARCH=1,
Litsea populifolia,9.98333,5,15.1885,26.7667,7.36111,1229.67,60.8333,TRUE,GBIF_BGCI=27,GBIF_CURRENT=35,,PLANTSEARCH=5,
Nyssa ogeche,9.98333,5,16.9107,32.357,7.44083,1116.62,195.625,TRUE,GBIF_BGCI=35,GBIF_CURRENT=88,,URBANPLANTS=1,PLANTSEARCH=27
Ternstroemia gymnanthera,9.98333,5,14.7693,27.252,7.32234,1425.75,136.5,TRUE,GBIF_BGCI=18,GBIF_CURRENT=711,,URBANPLANTS=13,PLANTSEARCH=1
Viburnum tinus,9.98333,5,13.1503,26.6807,6.53778,749.667,137.667,TRUE,GBIF_CURRENT=45676,,URBANPLANTS=22,PLANTSEARCH=1,
Actinidia hemsleyana,9.98333,6,16.3389,31.025,4.74583,1238.5,162.25,FALSE,GBIF_CURRENT=54,,PLANTSEARCH=5,,
Agave bracteosa,9.98333,6,17.1917,29.275,9.71667,589.75,83.5,FALSE,GBIF_CURRENT=31,,PLANTSEARCH=85,,
Agave gentryi,9.98333,6,14.8847,27.375,11.2,541,36.75,FALSE,GBIF_CURRENT=298,,PLANTSEARCH=14,,
Allium splendens,9.98333,6,1.27778,23.25,-10.9625,608,83.5,FALSE,GBIF_CURRENT=1225,,PLANTSEARCH=19,,
Angelica capitellata,9.98333,6,7.06251,23.425,2.13333,796,67.25,FALSE,GBIF_CURRENT=185,,PLANTSEARCH=2,,
Aralia hispida,9.98333,6,6.71667,24.2,-3.64167,991.5,193.5,FALSE,GBIF_CURRENT=3745,,PLANTSEARCH=13,,
Arisaema bockii,9.98333,6,14.6813,28.925,5.80417,1111.25,107.5,FALSE,GBIF_CURRENT=22,,PLANTSEARCH=8,,
Artemisia afra,9.98333,6,15.884,26.7,10.75,730.5,68.5,FALSE,GBIF_CURRENT=47,,PLANTSEARCH=25,,
Astragalus whitneyi,9.98333,6,7.55278,25.975,1.40833,733.5,118.25,FALSE,GBIF_CURRENT=1125,,PLANTSEARCH=6,,
Atocion rupestre,9.98333,6,5.45417,20.425,-2.78333,960,176.25,FALSE,GBIF_CURRENT=731,,PLANTSEARCH=8,,
Baccharis pilularis,9.98333,6,14.5653,26.55,9.71667,632.25,10,FALSE,GBIF_CURRENT=993,,PLANTSEARCH=31,,
Beesia deltophylla,9.98333,6,14.7431,28.625,4.49583,1315,112,FALSE,GBIF_CURRENT=3,,PLANTSEARCH=1,,
Begonia formosana,9.98333,6,17.6347,27.1,10.0667,1905,277,FALSE,GBIF_CURRENT=126,,PLANTSEARCH=17,,
Brassica cretica,9.98333,6,16.1833,29.8,8.3,669.5,51,FALSE,GBIF_CURRENT=487,,PLANTSEARCH=9,,
Callicarpa americana,9.98333,6,17.5444,31.85,7.70833,1168,196,FALSE,GBIF_CURRENT=9756,,PLANTSEARCH=14,,
Ceanothus cuneatus,9.98333,6,14.0507,28.525,8.89583,731.75,24.5,FALSE,GBIF_CURRENT=5735,,PLANTSEARCH=21,,
Ceanothus megacarpus,9.98333,6,16.0854,28.075,11.1833,465.25,6.25,FALSE,GBIF_CURRENT=1298,,PLANTSEARCH=1,,
